model,pathway,scenario,region,variables,unit,2019,2020,2025,2030,2035,2040,2050
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,338.0388519,295.0764626,300.9520238,303.9093189,256.0684141,208.2275093,83.69306389
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Nuclear|Evolutionary power reactor,TWh/year,0,0,0,0,0,0,0
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Nuclear|Small modular reactor,TWh/year,0,0,0,0,0,0,0
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Thermal|Coal,TWh/year,1.386610397,1.207298721,0.6034234,0,0,0,0
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Thermal|Oil|Conventional,TWh/year,1.467153282,0.232440299,0.348579989,0,0,0,0
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Thermal|Oil|Cogeneration,TWh/year,0.606075566,0.521052467,0.488434329,0,0,0,0
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Thermal|Natural gas|CCP,TWh/year,22.72263269,19.52452043,6.923350327,15.80087329,9.145685177,2.490497064,0.303169167
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Thermal|Natural gas|Cogeneration,TWh/year,11.01703403,9.894779586,4.141657901,7.661029473,4.434271601,1.207513728,0.146991111
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Thermal|Natural gas|Conventional,TWh/year,0.688564627,0.971808709,3.425707648,0.478814342,0.277141975,0.075469608,0.009186944
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Thermal|Hydrogen,TWh/year,0,0,0,0,0.643206887,1.286413773,8.176380556
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Flexibilities|Battery,TWh/year,0,0,0,0.172235375,1.972857887,3.773480399,10.84059444
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Conventional|Waste-to-Energy,TWh/year,1.962230802,1.943617419,3.658986366,1.894589123,1.719142825,1.543696527,1.65365
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Import,TWh/year,1.6,2.7,0.33844,3,4.98,6.96,41.36
remind,SSP2-NPi,M23_ref,FR,Production|Electricity|Export,TWh/year,57.7,57.7,89.9089705,80.92,88.225,95.53,58.54
